planned_time;flight_number;from;status;airline
ANTALIA (AYT);FH 759;Wylądował 15:27;Szczegóły lotu;
OSLO TORP (TRF);FR 6311;Oczekiwany 15:49;Szczegóły lotu;
PODGORICA (TGD);FR 7934;Oczekiwany 16:47;Szczegóły lotu;
WARSZAWA (WAW);LO 3919;Oczekiwany 15:52;Szczegóły lotu;
BRUKSELA (BRU);SN 2547;Oczekiwany 16:02;Szczegóły lotu;
MONACHIUM (MUC);EN 8342;Oczekiwany 15:59;Szczegóły lotu;
BOLONIA (BLQ);FR 3798;Oczekiwany 16:22;Szczegóły lotu;
LIVERPOOL (LPL);FR 6360;Oczekiwany 17:29;Szczegóły lotu;
AMSTERDAM (AMS);KL 1327;Oczekiwany 16:20;Szczegóły lotu;
KOPENHAGA (CPH);D8 3562;Oczekiwany 16:35;Szczegóły lotu;
TURYN (TRN);FR 5905;Oczekiwany 16:37;Szczegóły lotu;
SALONIKI (SKG);FR 7227;;Szczegóły lotu;
SHARJAH (SHJ);G9 748;Oczekiwany 17:11;Szczegóły lotu;
RODOS (RHO);FR 7041;Oczekiwany 17:35;Szczegóły lotu;
EINDHOVEN (EIN);W6 2076;;Szczegóły lotu;
WARSZAWA (WAW);LO 3923;;Szczegóły lotu;
CHANIA (CHQ);FR 3052;;Szczegóły lotu;
DUBAJ (DXB);FZ 1503;Oczekiwany 17:20;Szczegóły lotu;
ANTALIA (AYT);PC 1502;;Szczegóły lotu;
OSLO GARDERMOEN (OSL);W6 2034;;Szczegóły lotu;
HELSINKI (HEL);AY 1163;;Szczegóły lotu;
PORTO (OPO);FR 3048;Oczekiwany 18:28;Szczegóły lotu;
FRANKFURT (FRA);LH 1368;;Szczegóły lotu;
TIRANA (TIA);FR 8403;;Szczegóły lotu;
AMSTERDAM (AMS);KL 1329;;Szczegóły lotu;
MEDIOLAN MALPENSA (MXP);W6 2068;;Szczegóły lotu;
ANKONA (AOI);FR 4491;;Szczegóły lotu;
ZURYCH (ZRH);LX 1374;;Szczegóły lotu;
RZYM CIAMPINO (CIA);FR 1470;;Szczegóły lotu;
HERAKLION (HER);ENT 7084;;Szczegóły lotu;
STUTTGART (STR);EW 2734;;Szczegóły lotu;
STAMBUŁ (IST);TK 1273;;Szczegóły lotu;
LONDYN LUTON (LTN);FR 1813;;Szczegóły lotu;
MEDIOLAN BERGAMO (BGY);FR 888;;Szczegóły lotu;
PARYŻ BEAUVAIS (BVA);FR 3698;;Szczegóły lotu;
BELGRAD (BEG);JU 158;;Szczegóły lotu;
MANCHESTER (MAN);LS 949;;Szczegóły lotu;
KOPENHAGA (CPH);FR 2725;;Szczegóły lotu;
WARSZAWA (WAW);LO 3921;;Szczegóły lotu;
MANCHESTER (MAN);RK 2141;;Szczegóły lotu;
WIEDEŃ (VIE);FR 947;;Szczegóły lotu;
LONDYN GATWICK (LGW);EZY 8823;;Szczegóły lotu;
OSLO GARDERMOEN (OSL);DY 1042;;Szczegóły lotu;
PALMA DE MALLORCA (PMI);FR 4511;;Szczegóły lotu;
SZTOKHOLM ARLANDA (ARN);FR 4635;;Szczegóły lotu;
DUBLIN (DUB);FR 1901;;Szczegóły lotu;
AMSTERDAM (AMS);KL 1331;;Szczegóły lotu;
LONDYN STANSTED (STN);FR 2362;;Szczegóły lotu;
DUBAJ (DXB);FZ 1785;;Szczegóły lotu;
PARYŻ ORLY (ORY);LO 338;;Szczegóły lotu;
KORFU (CFU);FR 6963;;Szczegóły lotu;
WALENCJA (VLC);W6 2080;;Szczegóły lotu;
LOURDES (LDE);FR 2371;;Szczegóły lotu;
MONACHIUM (MUC);LH 1626;;Szczegóły lotu;
BOLONIA (BLQ);W6 2060;;Szczegóły lotu;
RZYM FIUMICINO (FCO);W6 2062;;Szczegóły lotu;
WIEDEŃ (VIE);OS 599;;Szczegóły lotu;
FRANKFURT (FRA);LH 1370;;Szczegóły lotu;
WARSZAWA (WAW);LO 3911;;Szczegóły lotu;
LONDYN GATWICK (LGW);W6 2010;;Szczegóły lotu;
MALAGA (AGP);W6 2074;;Szczegóły lotu;
WALENCJA (VLC);FR 2228;;Szczegóły lotu;
MEDIOLAN BERGAMO (BGY);FR 3535;;Szczegóły lotu;
BARI (BRI);FR 2723;;Szczegóły lotu;
MADRYT (MAD);FR 5356;;Szczegóły lotu;
LONDYN STANSTED (STN);FR 2432;;Szczegóły lotu;
BOURNEMOUTH (BOH);FR 5523;;Szczegóły lotu;
SALONIKI (SKG);FR 2778;;Szczegóły lotu;
MALTA (MLA);FR 7114;;Szczegóły lotu;
ANTALIA (AYT);XQ 432;;Szczegóły lotu;
KOPENHAGA (CPH);FR 2725;;Szczegóły lotu;
SOFIA (SOF);W6 4453;;Szczegóły lotu;
SZTOKHOLM ARLANDA (ARN);FR 4626;;Szczegóły lotu;
MEDIOLAN BERGAMO (BGY);FR 3504;;Szczegóły lotu;
HELSINKI (HEL);AY 1161;;Szczegóły lotu;
KOPENHAGA (CPH);D8 3562;;Szczegóły lotu;
BELGRAD (BEG);JU 156;;Szczegóły lotu;
TEL AVIV (TLV);LO 160;;Szczegóły lotu;
ZURYCH (ZRH);LX 1370;;Szczegóły lotu;
MONACHIUM (MUC);LH 1620;;Szczegóły lotu;
ANTALIA (AYT);RR 5004;;Szczegóły lotu;
BRUKSELA CHARLEROI (CRL);FR 5534;;Szczegóły lotu;
PARYŻ (CDG);EJU 4667;;Szczegóły lotu;
LIVERPOOL (LPL);FR 6360;;Szczegóły lotu;
CHICAGO (ORD);LO 010;;Szczegóły lotu;
KOPENHAGA (CPH);SK 1735;;Szczegóły lotu;
RIMINI (RMI);FR 2783;;Szczegóły lotu;
TEL AVIV (TLV);LY 5119;;Szczegóły lotu;
GDAŃSK (GDN);FR 236;;Szczegóły lotu;
EDYNBURG (EDI);EZY 3313;;Szczegóły lotu;
PRAGA (PRG);FR 4069;;Szczegóły lotu;
NICEA (NCE);W6 2072;;Szczegóły lotu;
FRANKFURT (FRA);LH 1362;;Szczegóły lotu;
OSLO TORP (TRF);FR 6217;;Szczegóły lotu;
FARO (FAO);FR 2838;;Szczegóły lotu;
ANKONA (AOI);FR 4491;;Szczegóły lotu;
GÖTEBORG LANDVETTER (GOT);FR 4011;;Szczegóły lotu;
LONDYN STANSTED (STN);FR 2434;;Szczegóły lotu;
AMSTERDAM (AMS);KL 1323;;Szczegóły lotu;
PARYŻ (CDG);AF 1878;;Szczegóły lotu;
WARSZAWA (WAW);LO 3907;;Szczegóły lotu;
BRUKSELA (BRU);SN 2547;;Szczegóły lotu;
OLBIA (OLB);FR 6735;;Szczegóły lotu;
HELSINKI (HEL);AY 1165;;Szczegóły lotu;
HERAKLION (HER);W6 2022;;Szczegóły lotu;
OSLO GARDERMOEN (OSL);DY 1040;;Szczegóły lotu;
STUTTGART (STR);EW 2734;;Szczegóły lotu;
DUBAJ (DXB);FZ 1787;;Szczegóły lotu;
LONDYN LUTON (LTN);W6 2002;;Szczegóły lotu;
ATENY (ATH);FR 2610;;Szczegóły lotu;
MANCHESTER (MAN);EZY 2263;;Szczegóły lotu;
BARCELONA (BCN);FR 3035;;Szczegóły lotu;
PARYŻ BEAUVAIS (BVA);FR 3436;;Szczegóły lotu;
BERGEN (BGO);DY 1028;;Szczegóły lotu;
FRANKFURT (FRA);LH 1364;;Szczegóły lotu;
BIRMINGHAM (BHX);FR 1465;;Szczegóły lotu;
BARCELONA (BCN);W6 2048;;Szczegóły lotu;
MONACHIUM (MUC);LH 1622;;Szczegóły lotu;
LARNAKA  (LCA);W6 2052;;Szczegóły lotu;
SHANNON (SNN);FR 3327;;Szczegóły lotu;
SHARJAH (SHJ);G9 730;;Szczegóły lotu;
LUKSEMBURG (LUX);LG 5741;;Szczegóły lotu;
BOLONIA (BLQ);FR 3798;;Szczegóły lotu;
EINDHOVEN (EIN);FR 043;;Szczegóły lotu;
SZTOKHOLM ARLANDA (ARN);D8 3807;;Szczegóły lotu;
AMSTERDAM (AMS);KL 1325;;Szczegóły lotu;
FRANKFURT (FRA);LH 1366;;Szczegóły lotu;
BRISTOL (BRS);EZY 2937;;Szczegóły lotu;
RZYM CIAMPINO (CIA);FR 082;;Szczegóły lotu;
RIJAD (RUH);XY 395;;Szczegóły lotu;
BRISTOL (BRS);FR 5516;;Szczegóły lotu;
VARNA (VAR);FR 4738;;Szczegóły lotu;
WIEDEŃ (VIE);OS 597;;Szczegóły lotu;
TIRANA (TIA);W4 2100;;Szczegóły lotu;
WARSZAWA (WAW);LO 3905;;Szczegóły lotu;
RYGA (RIX);FR 5429;;Szczegóły lotu;
DUSSELDORF (DUS);EW 9732;;Szczegóły lotu;
ANKARA (ESB);PC 1747;;Szczegóły lotu;
LONDYN LUTON (LTN);FR 1813;;Szczegóły lotu;
PODGORICA (TGD);FR 7934;;Szczegóły lotu;
PIZA (PSA);FR 7931;;Szczegóły lotu;
CAGLIARI (CAG);FR 4425;;Szczegóły lotu;
MARSYLIA (MRS);FR 5413;;Szczegóły lotu;
BARI (BRI);FR 2723;;Szczegóły lotu;
MONACHIUM (MUC);EN 8342;;Szczegóły lotu;
BARCELONA GIRONA (GRO);FR 8673;;Szczegóły lotu;
BURGAS (BOJ);FR 3715;;Szczegóły lotu;
WARSZAWA (WAW);LO 3919;;Szczegóły lotu;
WIEDEŃ (VIE);FR 947;;Szczegóły lotu;
AMSTERDAM (AMS);KL 1327;;Szczegóły lotu;
ANTALIA (AYT);FH 759;;Szczegóły lotu;
PALERMO (PMO);FR 6233;;Szczegóły lotu;
SHARJAH (SHJ);G9 748;;Szczegóły lotu;
MEDIOLAN MALPENSA (MXP);W6 2068;;Szczegóły lotu;
MALTA (MLA);FR 7114;;Szczegóły lotu;
